[NodeSet]:288		[PeerSet]:2770		[12-bit Zone]:0 [0/s]		[Response]:            59.72%		[Queue]:200		
[NodeSet]:288		[PeerSet]:2776		[12-bit Zone]:0 [0/s]		[Response]:            60.07%		[Queue]:200		
[NodeSet]:288		[PeerSet]:2776		[12-bit Zone]:0 [0/s]		[Response]:            61.81%		[Queue]:196		
[NodeSet]:288		[PeerSet]:2786		[12-bit Zone]:0 [0/s]		[Response]:            62.50%		[Queue]:200		
[NodeSet]:288		[PeerSet]:2794		[12-bit Zone]:0 [0/s]		[Response]:            62.85%		[Queue]:200		
[NodeSet]:288		[PeerSet]:2807		[12-bit Zone]:0 [0/s]		[Response]:            63.19%		[Queue]:200		
[NodeSet]:288		[PeerSet]:2808		[12-bit Zone]:0 [0/s]		[Response]:            63.54%		[Queue]:200		
[NodeSet]:288		[PeerSet]:2817		[12-bit Zone]:0 [0/s]		[Response]:            63.89%		[Queue]:200		
[NodeSet]:288		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            64.24%		[Queue]:200		
[NodeSet]:295		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            63.05%		[Queue]:200		
[NodeSet]:302		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            61.92%		[Queue]:200		
[NodeSet]:310		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            60.65%		[Queue]:200		
[NodeSet]:316		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            59.81%		[Queue]:200		
[NodeSet]:324		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            58.64%		[Queue]:200		
[NodeSet]:331		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            57.70%		[Queue]:200		
[NodeSet]:338		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            56.80%		[Queue]:200		
[NodeSet]:344		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            56.10%		[Queue]:200		
[NodeSet]:352		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            55.11%		[Queue]:200		
[NodeSet]:359		[PeerSet]:2830		[12-bit Zone]:0 [0/s]		[Response]:            54.32%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2845		[12-bit Zone]:0 [0/s]		[Response]:            54.44%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2856		[12-bit Zone]:0 [0/s]		[Response]:            54.72%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2866		[12-bit Zone]:0 [0/s]		[Response]:            55.00%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2876		[12-bit Zone]:0 [0/s]		[Response]:            55.28%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2884		[12-bit Zone]:0 [0/s]		[Response]:            55.56%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2895		[12-bit Zone]:0 [0/s]		[Response]:            55.83%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2901		[12-bit Zone]:0 [0/s]		[Response]:            56.11%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2907		[12-bit Zone]:0 [0/s]		[Response]:            56.39%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2913		[12-bit Zone]:0 [0/s]		[Response]:            56.67%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2924		[12-bit Zone]:0 [0/s]		[Response]:            56.94%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2924		[12-bit Zone]:0 [0/s]		[Response]:            57.22%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2924		[12-bit Zone]:0 [0/s]		[Response]:            57.50%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2932		[12-bit Zone]:0 [0/s]		[Response]:            57.78%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2942		[12-bit Zone]:0 [0/s]		[Response]:            58.06%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2954		[12-bit Zone]:0 [0/s]		[Response]:            58.33%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2963		[12-bit Zone]:0 [0/s]		[Response]:            58.61%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2975		[12-bit Zone]:0 [0/s]		[Response]:            58.89%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2983		[12-bit Zone]:0 [0/s]		[Response]:            59.17%		[Queue]:200		
[NodeSet]:360		[PeerSet]:2992		[12-bit Zone]:0 [0/s]		[Response]:            59.44%		[Queue]:200		
[NodeSet]:360		[PeerSet]:3013		[12-bit Zone]:0 [0/s]		[Response]:            59.72%		[Queue]:200		
[NodeSet]:360		[PeerSet]:3021		[12-bit Zone]:0 [0/s]		[Response]:            60.00%		[Queue]:200		
[NodeSet]:360		[PeerSet]:3026		[12-bit Zone]:0 [0/s]		[Response]:            60.28%		[Queue]:200		
[NodeSet]:360		[PeerSet]:3029		[12-bit Zone]:0 [0/s]		[Response]:            60.56%		[Queue]:200		
[NodeSet]:361		[PeerSet]:3045		[12-bit Zone]:0 [0/s]		[Response]:            60.66%		[Queue]:200		
[NodeSet]:361		[PeerSet]:3046		[12-bit Zone]:0 [0/s]		[Response]:            60.94%		[Queue]:200		
[NodeSet]:361		[PeerSet]:3046		[12-bit Zone]:0 [0/s]		[Response]:            61.22%		[Queue]:200		
[NodeSet]:361		[PeerSet]:3046		[12-bit Zone]:0 [0/s]		[Response]:            61.50%		[Queue]:200		
[NodeSet]:361		[PeerSet]:3046		[12-bit Zone]:0 [0/s]		[Response]:            61.77%		[Queue]:200		
[NodeSet]:361		[PeerSet]:3046		[12-bit Zone]:0 [0/s]		[Response]:            62.05%		[Queue]:200		
[NodeSet]:362		[PeerSet]:3055		[12-bit Zone]:0 [0/s]		[Response]:            62.15%		[Queue]:200		
[NodeSet]:362		[PeerSet]:3063		[12-bit Zone]:0 [0/s]		[Response]:            62.43%		[Queue]:200		
[NodeSet]:362		[PeerSet]:3068		[12-bit Zone]:0 [0/s]		[Response]:            62.71%		[Queue]:200		
[NodeSet]:362		[PeerSet]:3081		[12-bit Zone]:0 [0/s]		[Response]:            62.98%		[Queue]:200		
[NodeSet]:362		[PeerSet]:3088		[12-bit Zone]:0 [0/s]		[Response]:            63.26%		[Queue]:200		
[NodeSet]:362		[PeerSet]:3091		[12-bit Zone]:0 [0/s]		[Response]:            63.54%		[Queue]:200		
[NodeSet]:362		[PeerSet]:3101		[12-bit Zone]:0 [0/s]		[Response]:            63.81%		[Queue]:200		
[NodeSet]:362		[PeerSet]:3113		[12-bit Zone]:0 [0/s]		[Response]:            64.09%		[Queue]:200		
[NodeSet]:363		[PeerSet]:3121		[12-bit Zone]:0 [0/s]		[Response]:            64.19%		[Queue]:200		
[NodeSet]:364		[PeerSet]:3121		[12-bit Zone]:0 [0/s]		[Response]:            64.29%		[Queue]:200		
[NodeSet]:364		[PeerSet]:3121		[12-bit Zone]:0 [0/s]		[Response]:            64.56%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3121		[12-bit Zone]:0 [0/s]		[Response]:            64.48%		[Queue]:200		
