( 2330, 1238 )
( 2335, 1240 )
( 2340, 1242 )
( 2345, 1244 )
( 2350, 1246 )
( 2355, 1249 )
( 2360, 1251 )
( 2365, 1253 )
( 2370, 1255 )
( 2375, 1257 )
( 2380, 1259 )
( 2385, 1262 )
( 2390, 1264 )
( 2395, 1266 )
( 2400, 1268 )
( 2405, 1270 )
( 2410, 1272 )
( 2415, 1275 )
( 2420, 1277 )
( 2425, 1279 )
( 2430, 1281 )
( 2435, 1283 )
( 2440, 1285 )
( 2445, 1287 )
( 2450, 1290 )
( 2455, 1292 )
( 2460, 1294 )
( 2465, 1295 )
( 2470, 1297 )
( 2475, 1299 )
( 2480, 1301 )
( 2485, 1303 )
( 2490, 1304 )
( 2495, 1306 )
( 2500, 1308 )
( 2505, 1310 )
( 2510, 1312 )
( 2515, 1314 )
( 2520, 1315 )
( 2525, 1317 )
( 2530, 1319 )
( 2535, 1320 )
( 2540, 1322 )
( 2545, 1324 )
( 2550, 1325 )
( 2555, 1327 )
( 2560, 1328 )
( 2565, 1330 )
( 2570, 1331 )
( 2575, 1333 )
( 2580, 1334 )
( 2585, 1336 )
( 2590, 1338 )
( 2595, 1339 )
( 2600, 1340 )
( 2605, 1342 )
( 2610, 1343 )
( 2615, 1345 )
( 2620, 1346 )
( 2625, 1347 )
( 2630, 1349 )
( 2635, 1350 )
( 2640, 1352 )
( 2645, 1353 )
( 2650, 1355 )
( 2655, 1356 )
( 2660, 1358 )
( 2665, 1359 )
( 2670, 1361 )
( 2675, 1363 )
( 2680, 1364 )
( 2685, 1366 )
( 2690, 1367 )
( 2695, 1369 )
( 2700, 1370 )
( 2705, 1371 )
( 2710, 1373 )
( 2715, 1374 )
( 2720, 1376 )
( 2725, 1377 )
( 2730, 1378 )
( 2735, 1380 )
( 2740, 1382 )
( 2745, 1383 )
( 2750, 1384 )
( 2755, 1386 )
( 2760, 1387 )
( 2765, 1388 )
( 2770, 1390 )
( 2775, 1391 )
( 2780, 1392 )
( 2785, 1394 )
( 2790, 1395 )
( 2795, 1396 )
( 2800, 1397 )
( 2805, 1398 )
( 2810, 1399 )
( 2815, 1401 )
( 2820, 1402 )
( 2825, 1403 )
( 2830, 1404 )
( 2835, 1406 )
( 2840, 1407 )
( 2845, 1408 )
( 2850, 1409 )
( 2855, 1411 )
( 2860, 1412 )
( 2865, 1413 )
( 2870, 1414 )
( 2875, 1415 )
( 2880, 1417 )
( 2885, 1418 )
( 2890, 1419 )
( 2895, 1420 )
( 2900, 1421 )
( 2905, 1422 )
( 2910, 1423 )
( 2915, 1424 )
( 2920, 1425 )
( 2925, 1426 )
( 2930, 1427 )
( 2935, 1428 )
( 2940, 1429 )
( 2945, 1429 )
( 2950, 1430 )
( 2955, 1431 )
( 2960, 1432 )
( 2965, 1433 )
( 2970, 1434 )
( 2975, 1434 )
( 2980, 1435 )
( 2985, 1436 )
( 2990, 1437 )
( 2995, 1438 )
( 3000, 1438 )
( 3005, 1439 )
( 3010, 1440 )
( 3015, 1441 )
( 3020, 1442 )
( 3025, 1443 )
( 3030, 1444 )
( 3035, 1445 )
( 3040, 1446 )
( 3045, 1447 )
( 3050, 1448 )
( 3055, 1448 )
( 3060, 1449 )
( 3065, 1450 )
( 3070, 1451 )
( 3075, 1452 )
( 3080, 1453 )
( 3085, 1454 )
( 3090, 1455 )
( 3095, 1456 )
( 3100, 1457 )
( 3105, 1458 )
( 3110, 1459 )
( 3115, 1460 )
( 3120, 1461 )
( 3125, 1462 )
