( 5, 0 )
( 2410, 4288 )
( 2415, 4293 )
( 2420, 4299 )
( 2425, 4304 )
( 2430, 4308 )
( 2435, 4314 )
( 2440, 4320 )
( 2445, 4324 )
( 2450, 4328 )
( 2455, 4332 )
( 2460, 4338 )
( 2465, 4343 )
( 2470, 4348 )
( 2475, 4353 )
( 2480, 4359 )
( 2485, 4364 )
( 2490, 4369 )
( 2495, 4375 )
( 2500, 4380 )
( 2505, 4386 )
( 2510, 4391 )
( 2515, 4396 )
( 2520, 4402 )
( 2525, 4407 )
( 2530, 4413 )
( 2535, 4419 )
( 2540, 4424 )
( 2545, 4431 )
( 2550, 4436 )
( 2555, 4441 )
( 2560, 4447 )
( 2565, 4452 )
( 2570, 4457 )
( 2575, 4463 )
( 2580, 4468 )
( 2585, 4474 )
( 2590, 4480 )
( 2595, 4486 )
( 2600, 4491 )
( 2605, 4498 )
( 2610, 4504 )
( 2615, 4509 )
( 2620, 4515 )
( 2625, 4520 )
( 2630, 4526 )
( 2635, 4531 )
( 2640, 4536 )
( 2645, 4542 )
( 2650, 4547 )
( 2655, 4552 )
( 2660, 4558 )
( 2665, 4564 )
( 2670, 4569 )
( 2675, 4576 )
( 2680, 4582 )
( 2685, 4588 )
( 2690, 4595 )
( 2695, 4601 )
( 2700, 4607 )
( 2705, 4613 )
( 2710, 4621 )
( 2715, 4628 )
( 2720, 4635 )
( 2725, 4641 )
( 2730, 4647 )
( 2735, 4654 )
( 2740, 4659 )
( 2745, 4665 )
( 2750, 4671 )
( 2755, 4677 )
( 2760, 4683 )
( 2765, 4689 )
( 2770, 4696 )
( 2775, 4702 )
( 2780, 4708 )
( 2785, 4714 )
( 2790, 4720 )
( 2795, 4726 )
( 2800, 4732 )
( 2805, 4738 )
( 2810, 4744 )
( 2815, 4751 )
( 2820, 4757 )
( 2825, 4763 )
( 2830, 4770 )
( 2835, 4777 )
( 2840, 4784 )
( 2845, 4791 )
( 2850, 4797 )
( 2855, 4804 )
( 2860, 4810 )
( 2865, 4817 )
( 2870, 4823 )
( 2875, 4828 )
( 2880, 4835 )
( 2885, 4842 )
( 2890, 4849 )
( 2895, 4855 )
( 2900, 4862 )
( 2905, 4868 )
( 2910, 4874 )
( 2915, 4881 )
( 2920, 4888 )
( 2925, 4894 )
( 2930, 4900 )
( 2935, 4907 )
( 2940, 4913 )
( 2945, 4919 )
( 2950, 4925 )
( 2955, 4931 )
( 2960, 4938 )
( 2965, 4945 )
( 2970, 4950 )
( 2975, 4957 )
( 2980, 4962 )
( 2985, 4969 )
( 2990, 4975 )
( 2995, 4981 )
( 3000, 4987 )
( 3005, 4994 )
( 3010, 5001 )
( 3015, 5007 )
( 3020, 5015 )
( 3025, 5021 )
( 3030, 5027 )
( 3035, 5034 )
( 3040, 5041 )
( 3045, 5047 )
( 3050, 5054 )
( 3055, 5060 )
( 3060, 5066 )
( 3065, 5072 )
( 3070, 5079 )
( 3075, 5086 )
( 3080, 5092 )
( 3085, 5098 )
( 3090, 5104 )
( 3095, 5109 )
( 3100, 5115 )
( 3105, 5121 )
( 3110, 5126 )
( 3115, 5132 )
( 3120, 5138 )
( 3125, 5144 )
( 3130, 5150 )
( 3135, 5154 )
( 3140, 5161 )
( 3145, 5167 )
( 3150, 5174 )
( 3155, 5180 )
( 3160, 5188 )
( 3165, 5194 )
( 3170, 5201 )
( 3175, 5208 )
( 3180, 5214 )
( 3185, 5221 )
